(-114.9, 40.6, 59.9, 109.2, 90.0, 114.9)
(-117.1, 48.4, 74.2, 115.8, 90.0, 117.2)
(-119.4, 54.3, 84.5, 120.3, 90.0, 119.5)
(-120.8, 57.0, 89.1, 122.1, 90.0, 120.8)
(-123.1, 61.2, 96.2, 124.9, 90.0, 123.1)
(-126.4, 66.0, 103.9, 127.8, 90.0, 126.5)
(-128.9, 68.9, 108.3, 129.3, 90.0, 128.9)
(-130.2, 70.4, 110.5, 130.2, 90.0, 130.2)
(-141.8, 57.8, 90.6, -57.2, -90.0, -38.3)
(-146.9, 60.0, 94.2, -55.8, -90.0, -33.0)
(-14.7, 117.2, -98.9, -126.0, 90.0, 14.7)
(-27.4, 118.4, -96.8, -125.2, 90.0, 27.3)
(-53.6, 136.5, -65.3, -111.7, 90.0, 53.6)
(145.4, 63.6, 100.1, 126.5, 90.0, -145.4)
(143.8, 62.0, 97.6, 125.6, 90.0, -143.9)
(140.2, 57.8, 90.7, 122.8, 90.0, -140.2)
(137.6, 54.2, 84.4, 120.1, 90.0, -137.6)
(136.4, 52.4, 81.3, 118.9, 90.0, -136.4)
(134.1, 48.4, 74.2, 115.8, 90.0, -134.1)
(131.6, 42.9, 64.2, 111.3, 90.0, -131.5)
(129.2, 36.5, 52.0, 105.6, 90.0, -129.2)
(127.1, 28.0, 35.7, 97.6, 90.0, -127.1)
