,1,2,3,4,5,6
1,-155.0,13.7,-77.2,-1.0,89.6,102.3
2,-14.6,119.9,-41.6,-71.4,90.0,20.0
3,-28.8,124.3,-34.4,-68.8,90.0,28.8
4,-40.4,101.5,-66.7,96.5,-69.6,-111.0
5,-49.3,113.1,-51.8,105.1,-90.0,-130.6
6,44.1,145.4,0.0,122.8,-89.9,109.1
7,30.7,114.2,-50.1,105.8,-90.0,149.3
8,10.5,128.5,-27.3,-66.3,89.2,-10.5
9,-14.4,159.8,41.8,-27.9,90.0,14.4
10,-36.7,151.8,19.9,-41.8,90.0,36.7
11,36.7,125.5,-32.5,112.1,-89.6,143.3
12,-141.1,43.3,12.3,-109.2,-89.9,-38.1
13,-11.6,119.6,-42.1,-71.7,89.7,11.5
14,-37.0,98.6,-70.8,98.4,-78.1,-106.9
15,-53.3,122.5,-37.5,110.0,-90.0,-126.6
16,-146.1,13.8,-73.0,3.2,89.5,115.6
17,-150.5,13.8,-75.4,0.8,90.0,150.5
18,-155.3,13.7,-77.4,-1.1,90.0,155.3
19,-12.3,121.8,-40.7,-71.1,90.0,12.3
20,-11.0,119.8,-41.7,-71.4,90.0,11.0
21,-125.3,53.1,30.0,67.0,90.0,125.3
22,-134.6,73.1,60.3,77.2,90.0,134.6
23,-148.0,84.5,74.2,79.7,90.0,148.0
24,-10.6,119.8,-41.7,-71.5,90.0,10.6
25,-28.6,94.0,-75.9,100.1,-89.7,-151.4
26,-3.4,120.9,-40.1,-70.9,89.7,3.4
27,-16.5,119.8,-41.8,-71.5,90.0,16.6
28,-28.5,124.2,-34.5,-68.7,90.0,28.6
29,-38.7,100.0,-69.2,69.5,-46.6,-99.1
30,-47.0,109.1,-57.4,103.4,-90.0,-133.0
31,23.4,105.7,-61.9,102.4,-90.0,115.5
32,-150.6,55.3,33.7,-106.4,-90.0,19.1
33,-15.4,120.0,-41.4,-71.3,89.6,15.3
34,-34.0,129.1,-26.3,-65.3,90.0,33.9
35,151.2,69.9,56.0,76.2,90.0,-151.2
36,-93.3,62.0,44.4,72.4,90.0,93.3
37,-136.2,75.0,62.8,77.8,90.0,136.2
38,-146.3,13.8,-73.1,3.0,90.0,146.3
39,-158.9,13.8,-78.2,-2.0,90.0,158.9
40,-18.3,120.3,-40.9,-71.1,90.0,18.2
41,-127.2,20.8,-40.0,29.2,90.1,127.1
42,-139.7,14.3,-67.3,8.4,90.0,139.7
43,-158.0,13.7,-78.1,-1.8,90.0,158.1
44,-25.0,122.2,-37.9,-70.1,90.0,25.0
45,157.9,14.7,-64.8,10.6,90.0,-157.9
46,-89.3,57.4,37.3,69.9,90.0,89.3
47,-138.4,77.4,65.9,78.6,90.0,138.4
48,-155.8,87.5,77.4,79.8,90.0,155.8
49,-22.4,121.3,-39.3,-70.5,90.0,22.5
50,-40.4,101.5,-65.7,98.0,-67.8,-96.8
